search_id,street_no,street_dir,street,street_typ,unit_no,zip,results_num,possible_matches_num
341,4926,SW,CORBETT,AVE,501,97239,37,1
342,2530,SE,26th,AVE,208,97202,30,1
343,3970,N,INTERSTATE,AVE,104,97227,65,1
345,841,SW,Gaines,ST,504,97239,220,1
346,535,NE,Bridgeton,RD,7,97211,32,3
347,1025,NW,COUCH,ST,513,97209,136,1
348,2372,NW,GLISAN,ST,5,97210,6,1
349,2732,SE,Pine,ST,,97214,2,2
350,126,,CONDOLEA,DR,,97035,0,0
351,1133,NW,11TH,AVE,511,97209,66,1
352,1561,NE,HALE,PL,1561,97030,1,0
353,922,NW,11TH,AVE,809,97209,140,1
354,3601,SW,RIVER,PKWY,2108,97239,314,1
355,16000,SE,POWELL,BLVD,18,97236,158,2
356,841,SW,Gaines,ST,335,97239,220,1
357,2351,NW,WESTOVER,RD,516,97210,112,1
358,1949,NW,HOYT,ST,30,97209,0,0
359,12130,NE,FREMONT,ST,1,97220,4,1
360,9234,SE,DIVISION,ST,106,97266,14,1
361,4621,NE,13TH,AVE,,97211,2,2
362,1223,NE,21ST,AVE,12,97232,1,1
363,3925,SW,MULTNOMAH,BLVD,206,97219,18,1
364,14955,SE,GRANT,CT,,97233,1,1
365,1455,N,Killingsworth,ST,318,97217,68,1
366,2717,NE,KNOTT,AVE,,97212,1,0
367,2211,SW,1ST,AVE,1305,97201,97,1
368,1505,SE,Haig,ST,,97202,1,1
369,7506,SW,CORBETT,AVE,,97219,0,0
370,47,,EAGLE CREST,DR,C31,97035,0,0
371,2813,SE,16TH,AVE,,97202,1,1
372,14830,NE,ROSE,PKWY,,97230,1,1
373,836,SW,CURRY ST,,1700,97239,0,0
374,3601,SW,RIVER,PKWY,1210,97239,270,1
375,394,N,HAYDEN ISLAND,DR,124,97217,1,0
376,1900,SW,RIVER,DR,D405,97201,68,0
377,724,SE,33rd,AVE,19,97214,1,1
378,295,N,HAYDEN BAY,DR,,97217,1,1
379,1926,SE,Hemlock,AVE,,97214,1,1
380,8071,N,LEAVITT,AVE,#14-1,97203,1,0
381,28,SE,28th,AVE,411,97214,33,1
382,726,NW,11TH,AVE,606,97209,33,1
383,1125,NW,9TH,AVE,424,97209,153,1
384,1410,NW,KEARNEY,ST,1011,97209,130,1
385,1509,NE,10TH,AVE,102,97232,30,1
386,1875,SW,PALATINE HILL,RD,,97219,1,1
387,1510,NE,19TH,AVE,#1,97232,4,0
388,1540,SE,MARTINS,ST,E,97202,14,1
389,1420,NW,LOVEJOY,ST,628,97209,205,1
390,841,SW,GAINES,ST,117,97239,220,1
391,836,SW,CURRY,ST,406,97239,91,1
392,5858,SW,RIVERIDGE,LN,29,97239,36,1
393,1900,SW,RIVER,DR,C1506,97201,68,0
394,1220,NE,17TH,AVE,3C,97232,92,1
395,411,NW,FLANDERS,ST,409,97209,65,1
396,900,NE,FRANCIS,AVE,10,97030,165,1
397,3606,NE,GRAND (NOT BUSY),AVE,,97212,0,0
398,3601,SW,River,PKWY,1211,97239,314,1
399,216,NE,TILLAMOOK,ST,,97212,2,2
400,1132,SW,19TH,AVE,201,97205,87,1
401,15924,NE,FREMONT,ST,47,97230,1,0
402,941,SE,225th,AVE,,97030,1,1
403,1221,SW,10th No. 401,AVE,401,97205,0,0
404,3415,NE,33RD,AVE,,97212,1,0
405,333,NW,9TH,AVE,1502,97209,185,1
406,19153,SE,YAMHILL,ST,21,97233,4,1
407,2415,SE,171ST,AVE,,97233,1,1
408,900,NE,81ST,AVE,,97213,62,60
409,7122,N,POLK,AVE,,97203,0,0
410,2021,SW,MAIN,ST,63,97205,56,1
411,423,SW,NEVADA,ST,,97219,1,1
412,2505,SW,BEAVERTON HILLSDALE,HWY,2A,97239,1,0
